benchmark,run_name,model_name,subtype_accuracy,subtype_weighted_f1,type_weighted_f1,run_date
Spain,model_v2,1.1.0,0.8515,0.803758,0.811836,2026-01-28T09:15:00Z
Spain,model_v3,1.2.0,0.8185,0.887785,0.892468,2026-02-04T14:30:00Z
Spain,model_v1,1.0.0,0.0695,0.757268,0.768083,2026-01-15T11:00:00Z
France,model_v3,1.2.0,0.0375,0.887661,0.892192,2026-03-20T08:45:00Z
France,model_v2,1.1.0,0.0450,0.811141,0.820224,2026-03-10T16:20:00Z
France,model_v1,1.0.0,0.8300,0.771802,0.781510,2026-03-01T10:00:00Z
Italy,model_v3,1.2.0,0.8665,0.880517,0.886496,2026-03-31T23:50:00Z
Italy,model_v2,1.1.0,0.0345,0.804664,0.814302,2026-03-30T12:00:00Z
Italy,model_v1,1.0.0,0.0585,0.756040,0.766748,2026-03-25T09:30:00Z
Unknowns,spain,1.0.0,0,0.880000,0.888889,2026-04-01T10:00:00Z
Unknowns,france,1.1.0,0,0.777778,0.800000,2026-04-05T14:00:00Z
Unknowns,italy,1.2.0,0,0.880000,0.888889,2026-04-10T10:00:00Z
