id,run_id,record_id,attributes,metadata,true_type,pred_type,true_subtype,pred_subtype,created_at
1,1,REC-000001,"{""sku"":""SKU-TM5B6Q90"",""upc"":""843594285980"",""name"":""Item_76s8dub"",""size"":""XL"",""tags"":[""music"",""music""],""brand"":""BrandA"",""color"":""small"",""price"":15.02,""rating"":""5.0"",""weight"":1.38,""material"":""Plastic"",""inventory"":788,""dimensions"":{""width"":428,""height"":358,""length"":36},""createdDate"":""2025-11-19T17:25:48.052Z"",""description"":""A deluxe art product"",""lastModified"":""2026-02-26T02:51:06.348Z""}","{""region"":""LATAM"",""source"":""User Submission"",""status"":""Active"",""verified"":false,""confidence"":""66.21"",""department"":""Support"",""dataQuality"":""Low"",""lastChecked"":""2026-03-02T21:10:58.137Z""}",Document,Document,Guide,Guide,1774629223796
2,1,REC-000002,"{""sku"":""SKU-FWUCPW6P"",""upc"":""817346185098"",""name"":""Item_euv9kg"",""size"":""S"",""tags"":[""food"",""toys"",""toys"",""clothing""],""brand"":""Premium"",""color"":""red"",""price"":46.55,""rating"":""2.9"",""weight"":70.42,""material"":""Wool"",""inventory"":630,""dimensions"":{""width"":64,""height"":312,""length"":345},""createdDate"":""2025-06-28T18:18:57.767Z"",""description"":""A consumer toys product"",""lastModified"":""2026-03-04T01:07:25.504Z""}","{""region"":""EU"",""source"":""Manual Entry"",""status"":""Review"",""verified"":false,""confidence"":""25.91"",""department"":""Sales"",""dataQuality"":""High"",""lastChecked"":""2026-03-22T02:11:35.404Z""}",Complaint,Complaint,Delivery,Fraud,1774629223796
3,1,REC-000003,"{""sku"":""SKU-WYMYGTS8"",""upc"":""166778102537"",""name"":""Item_332vmq"",""size"":""XS"",""tags"":[""furniture"",""art"",""art"",""sports"",""art""],""brand"":""Budget"",""color"":""red"",""price"":76.68,""rating"":""2.1"",""weight"":74.55,""material"":""Wood"",""inventory"":395,""dimensions"":{""width"":491,""height"":383,""length"":217},""createdDate"":""2025-10-17T10:43:58.224Z"",""description"":""A standard home product"",""lastModified"":""2026-03-13T21:29:20.314Z""}","{""region"":""MENA"",""source"":""User Submission"",""status"":""Archived"",""verified"":true,""confidence"":""63.96"",""department"":""Finance"",""dataQuality"":""High"",""lastChecked"":""2026-03-14T04:38:47.680Z""}",Support,Feedback,Knowledge Base,Bug Report,1774629223796
4,1,REC-000004,"{""sku"":""SKU-Q1QSDNM9"",""upc"":""298054982716"",""name"":""Item_pizlje"",""size"":""XXL"",""tags"":[""furniture"",""books"",""sports""],""brand"":""Generic"",""color"":""small"",""price"":31.85,""rating"":""1.9"",""weight"":88.19,""material"":""Glass"",""inventory"":847,""dimensions"":{""width"":2,""height"":282,""length"":280},""createdDate"":""2025-06-01T22:30:13.433Z"",""description"":""A deluxe clothing product"",""lastModified"":""2026-03-05T20:25:44.640Z""}","{""region"":""MENA"",""source"":""User Submission"",""status"":""Archived"",""verified"":false,""confidence"":""77.38"",""department"":""Support"",""dataQuality"":""Low"",""lastChecked"":""2026-03-02T21:28:42.147Z""}",Content,Document,Audio,Contract,1774629223796
5,1,REC-000005,"{""sku"":""SKU-0LIR6C6I"",""upc"":""889993917346"",""name"":""Item_g97xbo"",""size"":""L"",""tags"":[""books"",""home""],""brand"":""Budget"",""color"":""red"",""price"":70.11,""rating"":""4.1"",""weight"":37.01,""material"":""Leather"",""inventory"":999,""dimensions"":{""width"":395,""height"":212,""length"":441},""createdDate"":""2026-02-16T09:30:51.826Z"",""description"":""A premium furniture product"",""lastModified"":""2026-03-18T14:06:55.293Z""}","{""region"":""US"",""source"":""Manual Entry"",""status"":""Archived"",""verified"":false,""confidence"":""8.31"",""department"":""Marketing"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-14T17:45:18.180Z""}",Account,Account,Unverified,Developer,1774629223796
6,1,REC-000006,"{""sku"":""SKU-GX9BH1R5"",""upc"":""499894567444"",""name"":""Item_x0p0s"",""size"":""XL"",""tags"":[""books"",""clothing"",""books"",""toys""],""brand"":""Generic"",""color"":""basic"",""price"":17.48,""rating"":""4.9"",""weight"":17.31,""material"":""Wool"",""inventory"":779,""dimensions"":{""width"":157,""height"":435,""length"":484},""createdDate"":""2026-01-08T22:50:13.342Z"",""description"":""A standard food product"",""lastModified"":""2026-03-19T09:21:03.984Z""}","{""region"":""LATAM"",""source"":""Web Scrape"",""status"":""Archived"",""verified"":true,""confidence"":""86.37"",""department"":""Support"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-27T07:57:22.513Z""}",Communication,Communication,Phone Call,Newsletter,1774629223796
7,1,REC-000007,"{""sku"":""SKU-Q9LRJOVE"",""upc"":""479153253114"",""name"":""Item_tg0gj9"",""size"":""M"",""tags"":[""electronics""],""brand"":""Budget"",""color"":""premium"",""price"":89.81,""rating"":""0.2"",""weight"":69.52,""material"":""Glass"",""inventory"":641,""dimensions"":{""width"":391,""height"":240,""length"":372},""createdDate"":""2025-08-17T11:54:16.569Z"",""description"":""A small toys product"",""lastModified"":""2026-02-26T02:50:48.838Z""}","{""region"":""LATAM"",""source"":""Web Scrape"",""status"":""Archived"",""verified"":false,""confidence"":""77.72"",""department"":""Support"",""dataQuality"":""High"",""lastChecked"":""2026-03-11T19:33:31.318Z""}",Analytics,Analytics,Retention,Conversion,1774629223796
8,1,REC-000008,"{""sku"":""SKU-XT3LQVEX"",""upc"":""717713621230"",""name"":""Item_pirp05"",""size"":""M"",""tags"":[""electronics"",""electronics"",""toys""],""brand"":""BrandD"",""color"":""large"",""price"":42.15,""rating"":""1.9"",""weight"":62.54,""material"":""Nylon"",""inventory"":689,""dimensions"":{""width"":315,""height"":16,""length"":493},""createdDate"":""2025-08-25T16:42:17.719Z"",""description"":""A small sports product"",""lastModified"":""2026-03-08T11:33:57.617Z""}","{""region"":""LATAM"",""source"":""Manual Entry"",""status"":""Review"",""verified"":false,""confidence"":""70.44"",""department"":""Marketing"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-24T09:17:58.558Z""}",Product,Product,Exclusive,Bundle,1774629223796
9,1,REC-000009,"{""sku"":""SKU-SN4SA0QZ"",""upc"":""21929736255"",""name"":""Item_bivjr"",""size"":""L"",""tags"":[""books"",""music"",""furniture""],""brand"":""Store Brand"",""color"":""basic"",""price"":23.92,""rating"":""1.9"",""weight"":28.68,""material"":""Metal"",""inventory"":651,""dimensions"":{""width"":126,""height"":188,""length"":88},""createdDate"":""2025-06-10T04:07:15.987Z"",""description"":""A standard furniture product"",""lastModified"":""2026-03-14T06:42:50.748Z""}","{""region"":""US"",""source"":""User Submission"",""status"":""Pending"",""verified"":false,""confidence"":""86.45"",""department"":""Operations"",""dataQuality"":""Medium"",""lastChecked"":""2026-02-28T23:56:42.772Z""}",Security,Security,Login,Encryption,1774629223796
10,1,REC-000010,"{""sku"":""SKU-EY69AE9X"",""upc"":""770547915937"",""name"":""Item_ig3mp"",""size"":""S"",""tags"":[""books"",""art"",""music"",""music""],""brand"":""Generic"",""color"":""large"",""price"":11.77,""rating"":""2.5"",""weight"":93.79,""material"":""Nylon"",""inventory"":242,""dimensions"":{""width"":274,""height"":499,""length"":185},""createdDate"":""2025-12-18T17:22:33.709Z"",""description"":""A red music product"",""lastModified"":""2026-03-25T17:15:48.840Z""}","{""region"":""APAC"",""source"":""API"",""status"":""Pending"",""verified"":true,""confidence"":""25.59"",""department"":""Sales"",""dataQuality"":""Low"",""lastChecked"":""2026-03-16T14:45:08.498Z""}",Support,Feedback,Phone,Suggestion,1774629223796
