benchmark_id,request_id,true_type,true_subtype,pred_type,pred_subtype,attributes,metadata,attributes_en
2,REC-000001,Account,Enterprise,Account,Unverified,"{""sku"":""SKU-WH9CZ5R6"",""upc"":""831707877097"",""name"":""פריט_b3r50a"",""size"":""M"",""tags"":[""מוזיקה"",""אלקטרוניקה"",""צעצועים"",""ספורט"",""ספרים""],""brand"":""תקציב"",""color"":""גדול"",""price"":4.78,""rating"":""3.8"",""weight"":88.36,""material"":""משי"",""inventory"":770,""dimensions"":{""width"":370,""height"":355,""length"":308},""createdDate"":""2025-08-10T03:34:21.748Z"",""description"":""מוצר מזון כחול"",""lastModified"":""2026-03-08T17:29:12.857Z""}","{""region"":""LATAM"",""source"":""API"",""status"":""Review"",""verified"":true,""confidence"":""76.86"",""department"":""Finance"",""dataQuality"":""High"",""lastChecked"":""2026-03-02T14:34:53.064Z""}","{""sku"":""SKU-WH9CZ5R6"",""upc"":""831707877097"",""name"":""Item_b3r50a"",""size"":""M"",""tags"":[""music"",""electronics"",""toys"",""sports"",""books""],""brand"":""Budget"",""color"":""large"",""price"":4.78,""rating"":""3.8"",""weight"":88.36,""material"":""Silk"",""inventory"":770,""dimensions"":{""width"":370,""height"":355,""length"":308},""createdDate"":""2025-08-10T03:34:21.748Z"",""description"":""A blue food product"",""lastModified"":""2026-03-08T17:29:12.857Z""}"
2,REC-000002,Complaint,Privacy,Complaint,Safety,"{""sku"":""SKU-9BRTM51E"",""upc"":""261763499252"",""name"":""פריט_jlxxfq"",""size"":""M"",""tags"":[""מזון""],""brand"":""מותג חנות"",""color"":""בסיסי"",""price"":29.75,""rating"":""1.2"",""weight"":17.58,""material"":""עץ"",""inventory"":900,""dimensions"":{""width"":265,""height"":127,""length"":147},""createdDate"":""2026-03-21T18:45:33.727Z"",""description"":""מוצר אמנות צרכני"",""lastModified"":""2026-03-10T20:03:04.417Z""}","{""region"":""EU"",""source"":""Manual Entry"",""status"":""Active"",""verified"":false,""confidence"":""24.21"",""department"":""Marketing"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-16T07:34:49.330Z""}","{""sku"":""SKU-9BRTM51E"",""upc"":""261763499252"",""name"":""Item_jlxxfq"",""size"":""M"",""tags"":[""food""],""brand"":""Store Brand"",""color"":""basic"",""price"":29.75,""rating"":""1.2"",""weight"":17.58,""material"":""Wood"",""inventory"":900,""dimensions"":{""width"":265,""height"":127,""length"":147},""createdDate"":""2026-03-21T18:45:33.727Z"",""description"":""A consumer art product"",""lastModified"":""2026-03-10T20:03:04.417Z""}"
2,REC-000003,Event,Launch,Event,Public,"{""sku"":""SKU-MLH2YG2H"",""upc"":""739304609290"",""name"":""פריט_5it44m"",""size"":""S"",""tags"":[""מזון"",""ספרים"",""אמנות"",""מזון"",""צעצועים""],""brand"":""מותג חנות"",""color"":""קטן"",""price"":99.32,""rating"":""4.8"",""weight"":61.47,""material"":""עור"",""inventory"":266,""dimensions"":{""width"":494,""height"":15,""length"":363},""createdDate"":""2025-08-18T16:00:59.116Z"",""description"":""מוצר בית בסיסי"",""lastModified"":""2026-03-07T06:44:37.313Z""}","{""region"":""US"",""source"":""Import"",""status"":""Active"",""verified"":true,""confidence"":""65.89"",""department"":""Marketing"",""dataQuality"":""Low"",""lastChecked"":""2026-03-11T18:29:12.700Z""}","{""sku"":""SKU-MLH2YG2H"",""upc"":""739304609290"",""name"":""Item_5it44m"",""size"":""S"",""tags"":[""food"",""books"",""art"",""food"",""toys""],""brand"":""Store Brand"",""color"":""small"",""price"":99.32,""rating"":""4.8"",""weight"":61.47,""material"":""Leather"",""inventory"":266,""dimensions"":{""width"":494,""height"":15,""length"":363},""createdDate"":""2025-08-18T16:00:59.116Z"",""description"":""A basic home product"",""lastModified"":""2026-03-07T06:44:37.313Z""}"
2,REC-000004,User,Free,User,Guest,"{""sku"":""SKU-AQ4Z3MDI"",""upc"":""438451303092"",""name"":""פריט_tp8s8j"",""size"":""XL"",""tags"":[""ביגוד"",""ביגוד""],""brand"":""מותג ב"",""color"":""קטן"",""price"":67.34,""rating"":""4.2"",""weight"":54.65,""material"":""צמר"",""inventory"":863,""dimensions"":{""width"":490,""height"":26,""length"":488},""createdDate"":""2025-09-02T04:13:30.171Z"",""description"":""מוצר מזון פרמיום"",""lastModified"":""2026-03-12T17:46:49.032Z""}","{""region"":""EU"",""source"":""Web Scrape"",""status"":""Active"",""verified"":true,""confidence"":""73.45"",""department"":""Finance"",""dataQuality"":""High"",""lastChecked"":""2026-03-04T04:18:42.835Z""}","{""sku"":""SKU-AQ4Z3MDI"",""upc"":""438451303092"",""name"":""Item_tp8s8j"",""size"":""XL"",""tags"":[""clothing"",""clothing""],""brand"":""BrandB"",""color"":""small"",""price"":67.34,""rating"":""4.2"",""weight"":54.65,""material"":""Wool"",""inventory"":863,""dimensions"":{""width"":490,""height"":26,""length"":488},""createdDate"":""2025-09-02T04:13:30.171Z"",""description"":""A premium food product"",""lastModified"":""2026-03-12T17:46:49.032Z""}"
2,REC-000005,Product,Bundle,Product,Clearance,"{""sku"":""SKU-VJY9YXDG"",""upc"":""676325587519"",""name"":""פריט_adysj8"",""size"":""One Size"",""tags"":[""ספרים""],""brand"":""תקציב"",""color"":""פרמיום"",""price"":11.11,""rating"":""0.1"",""weight"":57.5,""material"":""פלסטיק"",""inventory"":36,""dimensions"":{""width"":337,""height"":208,""length"":241},""createdDate"":""2025-07-31T15:49:32.606Z"",""description"":""מוצר ספרים כחול"",""lastModified"":""2026-03-07T23:01:39.573Z""}","{""region"":""MENA"",""source"":""Import"",""status"":""Active"",""verified"":false,""confidence"":""13.66"",""department"":""Operations"",""dataQuality"":""High"",""lastChecked"":""2026-03-08T10:01:50.927Z""}","{""sku"":""SKU-VJY9YXDG"",""upc"":""676325587519"",""name"":""Item_adysj8"",""size"":""One Size"",""tags"":[""books""],""brand"":""Budget"",""color"":""premium"",""price"":11.11,""rating"":""0.1"",""weight"":57.5,""material"":""Plastic"",""inventory"":36,""dimensions"":{""width"":337,""height"":208,""length"":241},""createdDate"":""2025-07-31T15:49:32.606Z"",""description"":""A blue books product"",""lastModified"":""2026-03-07T23:01:39.573Z""}"
2,REC-000006,Document,Shipping Label,Document,Terms,"{""sku"":""SKU-XWFPW6R5"",""upc"":""161256367737"",""name"":""פריט_iiyoj"",""size"":""S"",""tags"":[""מזון"",""מזון"",""אמנות"",""אמנות"",""ספורט""],""brand"":""יוקרה"",""color"":""צרכני"",""price"":32.1,""rating"":""0.3"",""weight"":68.36,""material"":""ניילון"",""inventory"":239,""dimensions"":{""width"":265,""height"":85,""length"":49},""createdDate"":""2025-12-10T00:07:52.699Z"",""description"":""מוצר ספורט צרכני"",""lastModified"":""2026-03-08T00:22:33.463Z""}","{""region"":""MENA"",""source"":""Import"",""status"":""Archived"",""verified"":true,""confidence"":""23.98"",""department"":""Finance"",""dataQuality"":""Low"",""lastChecked"":""2026-02-27T06:29:55.911Z""}","{""sku"":""SKU-XWFPW6R5"",""upc"":""161256367737"",""name"":""Item_iiyoj"",""size"":""S"",""tags"":[""food"",""food"",""art"",""art"",""sports""],""brand"":""Luxury"",""color"":""consumer"",""price"":32.1,""rating"":""0.3"",""weight"":68.36,""material"":""Nylon"",""inventory"":239,""dimensions"":{""width"":265,""height"":85,""length"":49},""createdDate"":""2025-12-10T00:07:52.699Z"",""description"":""A consumer sports product"",""lastModified"":""2026-03-08T00:22:33.463Z""}"
2,REC-000007,Security,Encryption,Security,Firewall,"{""sku"":""SKU-6WEMHSGC"",""upc"":""223880044347"",""name"":""פריט_qdnb4p"",""size"":""One Size"",""tags"":[""ספורט"",""אלקטרוניקה"",""ביגוד"",""אמנות""],""brand"":""מותג ב"",""color"":""סטנדרטי"",""price"":3.16,""rating"":""1.8"",""weight"":90.46,""material"":""זכוכית"",""inventory"":485,""dimensions"":{""width"":379,""height"":85,""length"":9},""createdDate"":""2025-07-14T02:46:55.923Z"",""description"":""מוצר אמנות בסיסי"",""lastModified"":""2026-03-13T17:42:04.256Z""}","{""region"":""LATAM"",""source"":""Manual Entry"",""status"":""Inactive"",""verified"":true,""confidence"":""46.79"",""department"":""Finance"",""dataQuality"":""High"",""lastChecked"":""2026-03-13T03:00:00.774Z""}","{""sku"":""SKU-6WEMHSGC"",""upc"":""223880044347"",""name"":""Item_qdnb4p"",""size"":""One Size"",""tags"":[""sports"",""electronics"",""clothing"",""art""],""brand"":""BrandB"",""color"":""standard"",""price"":3.16,""rating"":""1.8"",""weight"":90.46,""material"":""Glass"",""inventory"":485,""dimensions"":{""width"":379,""height"":85,""length"":9},""createdDate"":""2025-07-14T02:46:55.923Z"",""description"":""A basic art product"",""lastModified"":""2026-03-13T17:42:04.256Z""}"
2,REC-000008,Product,Licensed,Product,Bundle,"{""sku"":""SKU-YAZZ1V61"",""upc"":""702060827772"",""name"":""פריט_4f8x7"",""size"":""M"",""tags"":[""ספורט"",""מוזיקה"",""מזון""],""brand"":""מותג ג"",""color"":""סטנדרטי"",""price"":60.08,""rating"":""0.2"",""weight"":90.89,""material"":""צמר"",""inventory"":367,""dimensions"":{""width"":309,""height"":102,""length"":24},""createdDate"":""2026-01-02T21:39:28.202Z"",""description"":""מוצר אמנות דלוקס"",""lastModified"":""2026-02-26T21:43:47.188Z""}","{""region"":""LATAM"",""source"":""Web Scrape"",""status"":""Archived"",""verified"":true,""confidence"":""41.96"",""department"":""Support"",""dataQuality"":""Low"",""lastChecked"":""2026-03-07T15:12:35.283Z""}","{""sku"":""SKU-YAZZ1V61"",""upc"":""702060827772"",""name"":""Item_4f8x7"",""size"":""M"",""tags"":[""sports"",""music"",""food""],""brand"":""BrandC"",""color"":""standard"",""price"":60.08,""rating"":""0.2"",""weight"":90.89,""material"":""Wool"",""inventory"":367,""dimensions"":{""width"":309,""height"":102,""length"":24},""createdDate"":""2026-01-02T21:39:28.202Z"",""description"":""A deluxe art product"",""lastModified"":""2026-02-26T21:43:47.188Z""}"
2,REC-000009,Marketing,Webinar,Marketing,Social Media,"{""sku"":""SKU-8DE4PN8I"",""upc"":""79336984880"",""name"":""פריט_782pc6j"",""size"":""L"",""tags"":[""בית""],""brand"":""גנרי"",""color"":""בסיסי"",""price"":96.93,""rating"":""1.8"",""weight"":26.6,""material"":""ניילון"",""inventory"":278,""dimensions"":{""width"":179,""height"":240,""length"":359},""createdDate"":""2025-05-14T14:48:23.492Z"",""description"":""מוצר ריהוט דלוקס"",""lastModified"":""2026-03-10T06:28:46.044Z""}","{""region"":""MENA"",""source"":""User Submission"",""status"":""Archived"",""verified"":true,""confidence"":""97.19"",""department"":""Support"",""dataQuality"":""Low"",""lastChecked"":""2026-03-01T05:08:14.298Z""}","{""sku"":""SKU-8DE4PN8I"",""upc"":""79336984880"",""name"":""Item_782pc6j"",""size"":""L"",""tags"":[""home""],""brand"":""Generic"",""color"":""basic"",""price"":96.93,""rating"":""1.8"",""weight"":26.6,""material"":""Nylon"",""inventory"":278,""dimensions"":{""width"":179,""height"":240,""length"":359},""createdDate"":""2025-05-14T14:48:23.492Z"",""description"":""A deluxe furniture product"",""lastModified"":""2026-03-10T06:28:46.044Z""}"
2,REC-000010,Event,Virtual,Event,In Person,"{""sku"":""SKU-YK8RZFD3"",""upc"":""626301068839"",""name"":""פריט_rkow9"",""size"":""M"",""tags"":[""מוזיקה"",""ספרים""],""brand"":""מותג חנות"",""color"":""גדול"",""price"":20.22,""rating"":""1.7"",""weight"":71.41,""material"":""מתכת"",""inventory"":194,""dimensions"":{""width"":177,""height"":196,""length"":355},""createdDate"":""2025-09-05T16:44:38.995Z"",""description"":""מוצר בית סטנדרטי"",""lastModified"":""2026-03-09T05:26:42.997Z""}","{""region"":""EU"",""source"":""User Submission"",""status"":""Review"",""verified"":false,""confidence"":""29.17"",""department"":""Finance"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-13T16:44:33.559Z""}","{""sku"":""SKU-YK8RZFD3"",""upc"":""626301068839"",""name"":""Item_rkow9"",""size"":""M"",""tags"":[""music"",""books""],""brand"":""Store Brand"",""color"":""large"",""price"":20.22,""rating"":""1.7"",""weight"":71.41,""material"":""Metal"",""inventory"":194,""dimensions"":{""width"":177,""height"":196,""length"":355},""createdDate"":""2025-09-05T16:44:38.995Z"",""description"":""A standard home product"",""lastModified"":""2026-03-09T05:26:42.997Z""}"
