benchmark_id,request_id,true_type,true_subtype,pred_type,pred_subtype,attributes,metadata,attributes_en
3,REC-000001,Payment,Digital Wallet,Payment,Digital Wallet,"{""sku"":""SKU-0ZUJQD18"",""upc"":""345006098458"",""name"":""פריט_z2goth"",""size"":""S"",""tags"":[""מוזיקה""],""brand"":""גנרי"",""color"":""אדום"",""price"":10.62,""rating"":""4.5"",""weight"":93.92,""material"":""עור"",""inventory"":841,""dimensions"":{""width"":403,""height"":422,""length"":222},""createdDate"":""2025-11-30T11:41:27.440Z"",""description"":""מוצר ריהוט קטן"",""lastModified"":""2026-03-24T06:14:36.478Z""}","{""region"":""APAC"",""source"":""Web Scrape"",""status"":""Active"",""verified"":true,""confidence"":""80.12"",""department"":""Finance"",""dataQuality"":""High"",""lastChecked"":""2026-03-23T01:45:46.847Z""}",
3,REC-000002,Document,Report,Document,Report,"{""sku"":""SKU-M5PA8HAC"",""upc"":""926024777952"",""name"":""פריט_sw1agn"",""size"":""XS"",""tags"":[""ריהוט"",""ספורט""],""brand"":""מותג ב"",""color"":""אדום"",""price"":97.65,""rating"":""1.6"",""weight"":80.65,""material"":""צמר"",""inventory"":653,""dimensions"":{""width"":81,""height"":461,""length"":74},""createdDate"":""2025-10-19T20:01:06.310Z"",""description"":""מוצר ריהוט סטנדרטי"",""lastModified"":""2026-03-10T03:55:33.652Z""}","{""region"":""MENA"",""source"":""Manual Entry"",""status"":""Pending"",""verified"":true,""confidence"":""46.80"",""department"":""Operations"",""dataQuality"":""Low"",""lastChecked"":""2026-03-03T03:41:29.991Z""}","{""sku"":""SKU-M5PA8HAC"",""upc"":""926024777952"",""name"":""Item_sw1agn"",""size"":""XS"",""tags"":[""furniture"",""sports""],""brand"":""BrandB"",""color"":""red"",""price"":97.65,""rating"":""1.6"",""weight"":80.65,""material"":""Wool"",""inventory"":653,""dimensions"":{""width"":81,""height"":461,""length"":74},""createdDate"":""2025-10-19T20:01:06.310Z"",""description"":""A standard furniture product"",""lastModified"":""2026-03-10T03:55:33.652Z""}"
3,REC-000003,Service,Express,Service,Express,"{""sku"":""SKU-E3LODR49"",""upc"":""545227921610"",""name"":""פריט_y156i"",""size"":""L"",""tags"":[""בית"",""מוזיקה"",""ספורט""],""brand"":""תקציב"",""color"":""אדום"",""price"":77.04,""rating"":""3.0"",""weight"":77.22,""material"":""עור"",""inventory"":594,""dimensions"":{""width"":49,""height"":360,""length"":416},""createdDate"":""2025-05-07T20:52:38.556Z"",""description"":""מוצר צעצועים אדום"",""lastModified"":""2026-03-19T02:14:12.893Z""}","{""region"":""US"",""source"":""Web Scrape"",""status"":""Active"",""verified"":true,""confidence"":""22.35"",""department"":""Sales"",""dataQuality"":""High"",""lastChecked"":""2026-03-08T00:04:03.078Z""}","{""sku"":""SKU-E3LODR49"",""upc"":""545227921610"",""name"":""Item_y156i"",""size"":""L"",""tags"":[""home"",""music"",""sports""],""brand"":""Budget"",""color"":""red"",""price"":77.04,""rating"":""3.0"",""weight"":77.22,""material"":""Leather"",""inventory"":594,""dimensions"":{""width"":49,""height"":360,""length"":416},""createdDate"":""2025-05-07T20:52:38.556Z"",""description"":""A red toys product"",""lastModified"":""2026-03-19T02:14:12.893Z""}"
3,REC-000004,Shipping,Overnight,Shipping,Overnight,"{""sku"":""SKU-B5P5ELET"",""upc"":""415609785089"",""name"":""פריט_3gjf7e"",""size"":""M"",""tags"":[""מזון"",""אמנות"",""אמנות"",""מוזיקה""],""brand"":""מותג א"",""color"":""פרמיום"",""price"":32.73,""rating"":""3.5"",""weight"":66.8,""material"":""ניילון"",""inventory"":209,""dimensions"":{""width"":273,""height"":485,""length"":42},""createdDate"":""2025-07-22T16:33:23.926Z"",""description"":""מוצר צעצועים קטן"",""lastModified"":""2026-03-23T23:07:46.187Z""}","{""region"":""MENA"",""source"":""API"",""status"":""Active"",""verified"":false,""confidence"":""53.07"",""department"":""Sales"",""dataQuality"":""High"",""lastChecked"":""2026-03-04T05:07:53.558Z""}",
3,REC-000005,Shipping,Hazmat,Shipping,Hazmat,"{""sku"":""SKU-PPTWMYJD"",""upc"":""353087018726"",""name"":""פריט_cg8psa"",""size"":""XS"",""tags"":[""ריהוט"",""מזון"",""מזון"",""ספרים""],""brand"":""מותג ג"",""color"":""בסיסי"",""price"":92.82,""rating"":""3.2"",""weight"":52.91,""material"":""פוליאסטר"",""inventory"":573,""dimensions"":{""width"":32,""height"":199,""length"":385},""createdDate"":""2026-01-21T06:00:36.158Z"",""description"":""מוצר אלקטרוניקה כחול"",""lastModified"":""2026-03-18T16:24:43.031Z""}","{""region"":""MENA"",""source"":""Web Scrape"",""status"":""Inactive"",""verified"":false,""confidence"":""99.35"",""department"":""Sales"",""dataQuality"":""Low"",""lastChecked"":""2026-03-04T08:13:56.700Z""}","{""sku"":""SKU-PPTWMYJD"",""upc"":""353087018726"",""name"":""Item_cg8psa"",""size"":""XS"",""tags"":[""furniture"",""food"",""food"",""books""],""brand"":""BrandC"",""color"":""basic"",""price"":92.82,""rating"":""3.2"",""weight"":52.91,""material"":""Polyester"",""inventory"":573,""dimensions"":{""width"":32,""height"":199,""length"":385},""createdDate"":""2026-01-21T06:00:36.158Z"",""description"":""A blue electronics product"",""lastModified"":""2026-03-18T16:24:43.031Z""}"
3,REC-000006,Security,Password,Security,Password,"{""sku"":""SKU-XBI0ZY19"",""upc"":""196281713094"",""name"":""פריט_qmh59l"",""size"":""XS"",""tags"":[""מזון"",""צעצועים"",""ביגוד"",""צעצועים""],""brand"":""מותג ג"",""color"":""פרמיום"",""price"":60.28,""rating"":""2.5"",""weight"":62.01,""material"":""עור"",""inventory"":967,""dimensions"":{""width"":87,""height"":172,""length"":468},""createdDate"":""2025-10-16T03:07:19.147Z"",""description"":""מוצר מוזיקה סטנדרטי"",""lastModified"":""2026-03-19T01:27:27.907Z""}","{""region"":""MENA"",""source"":""Web Scrape"",""status"":""Archived"",""verified"":true,""confidence"":""40.35"",""department"":""Operations"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-27T09:30:50.481Z""}","{""sku"":""SKU-XBI0ZY19"",""upc"":""196281713094"",""name"":""Item_qmh59l"",""size"":""XS"",""tags"":[""food"",""toys"",""clothing"",""toys""],""brand"":""BrandC"",""color"":""premium"",""price"":60.28,""rating"":""2.5"",""weight"":62.01,""material"":""Leather"",""inventory"":967,""dimensions"":{""width"":87,""height"":172,""length"":468},""createdDate"":""2025-10-16T03:07:19.147Z"",""description"":""A standard music product"",""lastModified"":""2026-03-19T01:27:27.907Z""}"
3,REC-000007,Shipping,Overnight,Shipping,Overnight,"{""sku"":""SKU-FPNKFBB4"",""upc"":""360768515366"",""name"":""פריט_re4jrp"",""size"":""L"",""tags"":[""ספורט"",""אלקטרוניקה"",""צעצועים""],""brand"":""מותג ד"",""color"":""סטנדרטי"",""price"":84.71,""rating"":""3.7"",""weight"":6.95,""material"":""עץ"",""inventory"":807,""dimensions"":{""width"":496,""height"":198,""length"":422},""createdDate"":""2026-01-06T03:28:54.784Z"",""description"":""מוצר מוזיקה אדום"",""lastModified"":""2026-02-27T06:14:07.176Z""}","{""region"":""EU"",""source"":""Manual Entry"",""status"":""Archived"",""verified"":false,""confidence"":""74.68"",""department"":""Marketing"",""dataQuality"":""Low"",""lastChecked"":""2026-03-13T21:40:51.655Z""}","{""sku"":""SKU-FPNKFBB4"",""upc"":""360768515366"",""name"":""Item_re4jrp"",""size"":""L"",""tags"":[""sports"",""electronics"",""toys""],""brand"":""BrandD"",""color"":""standard"",""price"":84.71,""rating"":""3.7"",""weight"":6.95,""material"":""Wood"",""inventory"":807,""dimensions"":{""width"":496,""height"":198,""length"":422},""createdDate"":""2026-01-06T03:28:54.784Z"",""description"":""A red music product"",""lastModified"":""2026-02-27T06:14:07.176Z""}"
3,REC-000008,Support,Ticket,Support,Ticket,"{""sku"":""SKU-M1GNUK8D"",""upc"":""102854120230"",""name"":""פריט_xz3trt"",""size"":""S"",""tags"":[""ריהוט"",""אמנות"",""מזון""],""brand"":""מותג ב"",""color"":""קטן"",""price"":60.84,""rating"":""1.9"",""weight"":55.64,""material"":""פלסטיק"",""inventory"":215,""dimensions"":{""width"":171,""height"":200,""length"":379},""createdDate"":""2025-05-23T23:30:05.625Z"",""description"":""מוצר מזון פרמיום"",""lastModified"":""2026-03-22T08:41:50.128Z""}","{""region"":""US"",""source"":""Import"",""status"":""Pending"",""verified"":false,""confidence"":""41.04"",""department"":""Operations"",""dataQuality"":""Low"",""lastChecked"":""2026-03-22T12:07:46.193Z""}","{""sku"":""SKU-M1GNUK8D"",""upc"":""102854120230"",""name"":""Item_xz3trt"",""size"":""S"",""tags"":[""furniture"",""art"",""food""],""brand"":""BrandB"",""color"":""small"",""price"":60.84,""rating"":""1.9"",""weight"":55.64,""material"":""Plastic"",""inventory"":215,""dimensions"":{""width"":171,""height"":200,""length"":379},""createdDate"":""2025-05-23T23:30:05.625Z"",""description"":""A premium food product"",""lastModified"":""2026-03-22T08:41:50.128Z""}"
3,REC-000009,Product,Limited,Product,Limited,"{""sku"":""SKU-UFCXN2PE"",""upc"":""253408047897"",""name"":""פריט_fgvhhu"",""size"":""XS"",""tags"":[""ספורט"",""ריהוט"",""אמנות"",""ביגוד"",""מזון""],""brand"":""מותג ד"",""color"":""כחול"",""price"":95.44,""rating"":""2.4"",""weight"":42.27,""material"":""זכוכית"",""inventory"":414,""dimensions"":{""width"":365,""height"":466,""length"":96},""createdDate"":""2026-02-15T10:13:32.962Z"",""description"":""מוצר ספרים גדול"",""lastModified"":""2026-03-23T05:17:22.320Z""}","{""region"":""APAC"",""source"":""API"",""status"":""Inactive"",""verified"":true,""confidence"":""60.09"",""department"":""Finance"",""dataQuality"":""Low"",""lastChecked"":""2026-02-26T00:59:27.905Z""}","{""sku"":""SKU-UFCXN2PE"",""upc"":""253408047897"",""name"":""Item_fgvhhu"",""size"":""XS"",""tags"":[""sports"",""furniture"",""art"",""clothing"",""food""],""brand"":""BrandD"",""color"":""blue"",""price"":95.44,""rating"":""2.4"",""weight"":42.27,""material"":""Glass"",""inventory"":414,""dimensions"":{""width"":365,""height"":466,""length"":96},""createdDate"":""2026-02-15T10:13:32.962Z"",""description"":""A large books product"",""lastModified"":""2026-03-23T05:17:22.320Z""}"
3,REC-000010,Feedback,Negative,Feedback,Negative,"{""sku"":""SKU-AAFZ4OQG"",""upc"":""678247071806"",""name"":""פריט_lk4wpn"",""size"":""S"",""tags"":[""ריהוט"",""ריהוט""],""brand"":""יוקרה"",""color"":""סטנדרטי"",""price"":70.86,""rating"":""2.5"",""weight"":73.24,""material"":""צמר"",""inventory"":302,""dimensions"":{""width"":78,""height"":395,""length"":235},""createdDate"":""2025-11-14T09:26:26.452Z"",""description"":""מוצר צעצועים אדום"",""lastModified"":""2026-03-27T01:53:58.263Z""}","{""region"":""MENA"",""source"":""API"",""status"":""Review"",""verified"":false,""confidence"":""41.68"",""department"":""Finance"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-16T02:04:12.481Z""}","{""sku"":""SKU-AAFZ4OQG"",""upc"":""678247071806"",""name"":""Item_lk4wpn"",""size"":""S"",""tags"":[""furniture"",""furniture""],""brand"":""Luxury"",""color"":""standard"",""price"":70.86,""rating"":""2.5"",""weight"":73.24,""material"":""Wool"",""inventory"":302,""dimensions"":{""width"":78,""height"":395,""length"":235},""createdDate"":""2025-11-14T09:26:26.452Z"",""description"":""A red toys product"",""lastModified"":""2026-03-27T01:53:58.263Z""}"
