benchmark_id,request_id,true_type,true_subtype,pred_type,pred_subtype,attributes,metadata,en_attributes,confidence,pred_subtype_1,pred_subtype_2,missing_output,decision_status,decision_mapped_to
4,UNK-FR-U001,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-FR0001"", ""name"": ""Item_FR001"", ""tags"": [""meubles""], ""brand"": ""G\u00e9n\u00e9rique"", ""price"": 385.46, ""description"": ""Un produit de meubles""}","{""region"": ""APAC"", ""source"": ""Soumission Utilisateur"", ""status"": ""Archiv\u00e9"", ""confidence"": ""77.5""}","{""sku"": ""SKU-FR0001"", ""name"": ""Item_FR001"", ""tags"": [""furniture""], ""brand"": ""G\u00e9n\u00e9rique"", ""price"": 60.22, ""description"": ""A furniture product""}",0.7751,unknown,unknown,,,
4,UNK-FR-U002,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-FR0002"", ""name"": ""Item_FR002"", ""tags"": [""art""], ""brand"": ""G\u00e9n\u00e9rique"", ""price"": 486.08, ""description"": ""Un produit de art""}","{""region"": ""EU"", ""source"": ""API"", ""status"": ""En R\u00e9vision"", ""confidence"": ""20.2""}","{""sku"": ""SKU-FR0002"", ""name"": ""Item_FR002"", ""tags"": [""art""], ""brand"": ""MarqueB"", ""price"": 256.3, ""description"": ""A art product""}",0.2021,unknown,unknown,,,
4,UNK-FR-U003,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-FR0003"", ""name"": ""Item_FR003"", ""tags"": [""mode""], ""brand"": ""MarqueB"", ""price"": 80.66, ""description"": ""Un produit de mode""}","{""region"": ""MENA"", ""source"": ""Extracteur"", ""status"": ""En R\u00e9vision"", ""confidence"": ""53.0""}","{""sku"": ""SKU-FR0003"", ""name"": ""Item_FR003"", ""tags"": [""fashion""], ""brand"": ""MarqueB"", ""price"": 271.99, ""description"": ""A fashion product""}",0.53,unknown,unknown,,,
4,UNK-FR-U004,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-FR0004"", ""name"": ""Item_FR004"", ""tags"": [""sport""], ""brand"": ""MarqueA"", ""price"": 60.37, ""description"": ""Un produit de sport""}","{""region"": ""LATAM"", ""source"": ""Soumission Utilisateur"", ""status"": ""Actif"", ""confidence"": ""41.1""}","{""sku"": ""SKU-FR0004"", ""name"": ""Item_FR004"", ""tags"": [""sports""], ""brand"": ""G\u00e9n\u00e9rique"", ""price"": 439.97, ""description"": ""A sports product""}",0.4107,unknown,unknown,,,
4,UNK-FR-U005,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-FR0005"", ""name"": ""Item_FR005"", ""tags"": [""\u00e9lectronique""], ""brand"": ""Premium"", ""price"": 473.74, ""description"": ""Un produit de \u00e9lectronique""}","{""region"": ""EU"", ""source"": ""Soumission Utilisateur"", ""status"": ""Actif"", ""confidence"": ""35.7""}","{""sku"": ""SKU-FR0005"", ""name"": ""Item_FR005"", ""tags"": [""electronics""], ""brand"": ""MarqueA"", ""price"": 367.29, ""description"": ""A electronics product""}",0.3566,unknown,unknown,,,
4,UNK-FR-M001,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-FR0101"", ""name"": ""Item_FRM001"", ""tags"": [""meubles""], ""brand"": ""Premium"", ""price"": 86.74, ""description"": ""Un produit de meubles""}","{""region"": ""APAC"", ""source"": ""Soumission Utilisateur"", ""status"": ""En R\u00e9vision"", ""confidence"": ""62.9""}","{""sku"": ""SKU-FR0101"", ""name"": ""Item_FRM001"", ""tags"": [""furniture""], ""brand"": ""Premium"", ""price"": 436.85, ""description"": ""A furniture product""}",0.6288,Produit Défectueux,missing,Produit Défectueux,,
4,UNK-FR-M002,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-FR0102"", ""name"": ""Item_FRM002"", ""tags"": [""art""], ""brand"": ""MarqueB"", ""price"": 357.91, ""description"": ""Un produit de art""}","{""region"": ""LATAM"", ""source"": ""Entr\u00e9e Manuelle"", ""status"": ""En R\u00e9vision"", ""confidence"": ""69.1""}","{""sku"": ""SKU-FR0102"", ""name"": ""Item_FRM002"", ""tags"": [""art""], ""brand"": ""\u00c9conomique"", ""price"": 497.6, ""description"": ""A art product""}",0.6909,Article de Luxe,missing,Article de Luxe,,
4,UNK-FR-M003,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-FR0103"", ""name"": ""Item_FRM003"", ""tags"": [""mode""], ""brand"": ""MarqueB"", ""price"": 116.23, ""description"": ""Un produit de mode""}","{""region"": ""MENA"", ""source"": ""Soumission Utilisateur"", ""status"": ""En R\u00e9vision"", ""confidence"": ""49.4""}","{""sku"": ""SKU-FR0103"", ""name"": ""Item_FRM003"", ""tags"": [""fashion""], ""brand"": ""G\u00e9n\u00e9rique"", ""price"": 15.41, ""description"": ""A fashion product""}",0.4935,Édition Spéciale,missing,Édition Spéciale,,
4,UNK-FR-M004,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-FR0104"", ""name"": ""Item_FRM004"", ""tags"": [""sport""], ""brand"": ""MarqueA"", ""price"": 355.38, ""description"": ""Un produit de sport""}","{""region"": ""EU"", ""source"": ""API"", ""status"": ""Actif"", ""confidence"": ""34.3""}","{""sku"": ""SKU-FR0104"", ""name"": ""Item_FRM004"", ""tags"": [""sports""], ""brand"": ""MarqueA"", ""price"": 118.33, ""description"": ""A sports product""}",0.3431,Bio Certifié,missing,Bio Certifié,,
4,UNK-FR-M005,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-FR0105"", ""name"": ""Item_FRM005"", ""tags"": [""\u00e9lectronique""], ""brand"": ""G\u00e9n\u00e9rique"", ""price"": 336.14, ""description"": ""Un produit de \u00e9lectronique""}","{""region"": ""MENA"", ""source"": ""Entr\u00e9e Manuelle"", ""status"": ""Actif"", ""confidence"": ""53.4""}","{""sku"": ""SKU-FR0105"", ""name"": ""Item_FRM005"", ""tags"": [""electronics""], ""brand"": ""MarqueB"", ""price"": 271.92, ""description"": ""A electronics product""}",0.5342,Fait Main,missing,Fait Main,,
4,UNK-FR-M006,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-FR0106"", ""name"": ""Item_FRM006"", ""tags"": [""cuisine""], ""brand"": ""\u00c9conomique"", ""price"": 99.25, ""description"": ""Un produit de cuisine""}","{""region"": ""LATAM"", ""source"": ""Entr\u00e9e Manuelle"", ""status"": ""Archiv\u00e9"", ""confidence"": ""71.0""}","{""sku"": ""SKU-FR0106"", ""name"": ""Item_FRM006"", ""tags"": [""kitchen""], ""brand"": ""MarqueA"", ""price"": 331.2, ""description"": ""A kitchen product""}",0.71,Pièce Unique,missing,Pièce Unique,,
4,UNK-FR-M007,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-FR0107"", ""name"": ""Item_FRM007"", ""tags"": [""livres""], ""brand"": ""MarqueA"", ""price"": 338.32, ""description"": ""Un produit de livres""}","{""region"": ""LATAM"", ""source"": ""Extracteur"", ""status"": ""Actif"", ""confidence"": ""50.4""}","{""sku"": ""SKU-FR0107"", ""name"": ""Item_FRM007"", ""tags"": [""books""], ""brand"": ""MarqueA"", ""price"": 35.0, ""description"": ""A books product""}",0.5036,Vintage Français,missing,Vintage Français,,
4,UNK-FR-M008,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-FR0108"", ""name"": ""Item_FRM008"", ""tags"": [""jouets""], ""brand"": ""Premium"", ""price"": 227.06, ""description"": ""Un produit de jouets""}","{""region"": ""APAC"", ""source"": ""Soumission Utilisateur"", ""status"": ""Actif"", ""confidence"": ""32.5""}","{""sku"": ""SKU-FR0108"", ""name"": ""Item_FRM008"", ""tags"": [""toys""], ""brand"": ""\u00c9conomique"", ""price"": 95.83, ""description"": ""A toys product""}",0.3245,Gastronomie Fine,missing,Gastronomie Fine,,
4,UNK-FR-M009,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-FR0109"", ""name"": ""Item_FRM009"", ""tags"": [""meubles""], ""brand"": ""Premium"", ""price"": 53.46, ""description"": ""Un produit de meubles""}","{""region"": ""EU"", ""source"": ""Soumission Utilisateur"", ""status"": ""Actif"", ""confidence"": ""48.8""}","{""sku"": ""SKU-FR0109"", ""name"": ""Item_FRM009"", ""tags"": [""furniture""], ""brand"": ""Premium"", ""price"": 418.83, ""description"": ""A furniture product""}",0.488,Parfum Exclusif,missing,Parfum Exclusif,,
4,UNK-FR-M010,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-FR0110"", ""name"": ""Item_FRM010"", ""tags"": [""art""], ""brand"": ""\u00c9conomique"", ""price"": 110.8, ""description"": ""Un produit de art""}","{""region"": ""NA"", ""source"": ""Entr\u00e9e Manuelle"", ""status"": ""Actif"", ""confidence"": ""46.4""}","{""sku"": ""SKU-FR0110"", ""name"": ""Item_FRM010"", ""tags"": [""art""], ""brand"": ""\u00c9conomique"", ""price"": 451.71, ""description"": ""A art product""}",0.4642,Couture Haute,missing,Couture Haute,,
